sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	Ximenia americana	RO:0002453	host of		Anastrepha alveata	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Pouteria hypoglauca	RO:0002453	host of		Anastrepha aphelocentema	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Myrciaria floribunda	RO:0002453	host of		Anastrepha bahiensis	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Brosimum alicastrum	RO:0002453	host of		Anastrepha bahiensis	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Passiflora edulis	RO:0002453	host of		Anastrepha chiclayae	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Passiflora ciliata	RO:0002453	host of		Anastrepha chiclayae	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Tabernaemontana alba	RO:0002453	host of		Anastrepha cordata	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Quararibea funebris	RO:0002453	host of		Anastrepha crebra	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Inga jinicuil	RO:0002453	host of		Anastrepha distincta	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Inga spuria	RO:0002453	host of		Anastrepha distincta	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Inga vera	RO:0002453	host of		Anastrepha distincta	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Terminalia catappa	RO:0002453	host of		Anastrepha fraterculus	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Myrciaria floribunda	RO:0002453	host of		Anastrepha fraterculus	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Psidium guajava	RO:0002453	host of		Anastrepha fraterculus	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Psidium guineense	RO:0002453	host of		Anastrepha fraterculus	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Psidium sartorianum	RO:0002453	host of		Anastrepha fraterculus	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Syzygium jambos	RO:0002453	host of		Anastrepha fraterculus	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Prunus persica	RO:0002453	host of		Anastrepha fraterculus	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Chrysophyllum mexicanum	RO:0002453	host of		Anastrepha hamata	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Pouteria campechiana	RO:0002453	host of		Anastrepha hamata	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Magnifera indica	RO:0002453	host of		Anastrepha ludens	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Prunus persica	RO:0002453	host of		Anastrepha ludens	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Casimiroa edulis	RO:0002453	host of		Anastrepha ludens	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Citrus aurantium	RO:0002453	host of		Anastrepha ludens	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Citrus maxima	RO:0002453	host of		Anastrepha ludens	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Citrus paradisi	RO:0002453	host of		Anastrepha ludens	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Citrus reticulata	RO:0002453	host of		Anastrepha ludens	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Citrus sinensis	RO:0002453	host of		Anastrepha ludens	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Magnifera indica	RO:0002453	host of		Anastrepha obliqua	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Spondias purpurea	RO:0002453	host of		Anastrepha obliqua	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Spondias sp.	RO:0002453	host of		Anastrepha obliqua	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Spondias radlkoferi	RO:0002453	host of		Anastrepha obliqua	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Spondias mombin	RO:0002453	host of		Anastrepha obliqua	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Tapirira mexicana	RO:0002453	host of		Anastrepha obliqua	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Myrciaria floribunda	RO:0002453	host of		Anastrepha obliqua	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Calocarpum mammosum	RO:0002453	host of		Anastrepha serpentina	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Chrysophyllum mexicanum	RO:0002453	host of		Anastrepha serpentina	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Chrysophyllum cainito	RO:0002453	host of		Anastrepha serpentina	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Manilkara zapota	RO:0002453	host of		Anastrepha serpentina	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Pouteria hypoglauca	RO:0002453	host of		Anastrepha serpentina	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Psidium guajava	RO:0002453	host of		Anastrepha striata	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Psidium guineense	RO:0002453	host of		Anastrepha striata	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Psidium sartorianum	RO:0002453	host of		Anastrepha striata	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Crataegus mexicana	RO:0002453	host of		Rhagoletis pomonella	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Turpinia insignis	RO:0002453	host of		Rhagoletis turpiniae	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Solanum iodinium	RO:0002453	host of		Rhagoletis sp.	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Juglans pyriformis	RO:0002453	host of		Rhagoletis zoqui	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Trophis mexicana	RO:0002453	host of		Hexachaeta	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Carica papaya	RO:0002453	host of		Toxotrypana curvicauda	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
	Gonolobus niger	RO:0002453	host of		Toxotrypana curvicauda	GEONAMES:3514780	Veracruz, Mexico					http://www.biodiversitylibrary.org/bibliography/2510
